genus 	a1	a2	a3	a4	a5	a6	a7	b1	b2	c1	c2	c3	d1	d2	d3	d4	e1	e2	e3	e4	e5	e6	e7	e8	f1	f2	f3	f4	g1	g2	g3	g4	g5	j1	j2	j3	j4	j5	u1	u2	u3	u4	u5	u6	u7	u8	h1	h2	h3	h4	h5	h6	h7	h8	h9	i2	i3	i4	i5	i6	i7	i8	GRA	MIN	XYL	SHR	GAT	AFF	PFF	PRED	PAR	OTHER
taxon23	0	1	2	0	0	0	0	3	0.5	0	2	3	2	3	3	0	0	1	0	3	1	0	1	0	2	1.5	3	1	1	0	0	1	0	3	1	0	1.5	0	0	0	0	2	0	1	4	0	0	2.5	0	1	0	0	0.5	0	0	0	0	1	3	0	0	0	0.03	0	0	0	0	0	0.97	0	0	0
taxon24	0	0	2	2	1	1	0	2	1	0	3	0	1	2	2	0	0	3	0	2	0	0	1	0	1	1	1	3	0	0	0	3	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	1	5	3	0	0	2	1	0	2	3	1	0	0	1	0	0.286	0	0	0	0.6	0.043	0.071	0	0	0
taxon25	0	0	0	0	3	2	0	2	3	1	3	1	2	2	2	0	0	3	0	0	0	0	1	0	0	1	0	1	0	2	0	0	2	2	1	0	3	0	0	0	0	1	4	0	0	0	0	2	4	2	2	0	1	2	0	2	3	0	0	0	2	0	0	0	0.02	0.76	0.22	0	0	0	0	0
taxon26	0	0	3	1	0	0	0	3	0	0	2	3	3	3	0	0	0	0	1	3	0	0	0	0	3	2	1	3	2	0	0	0	2	1	2	0	0	0	0	0	3	4	0	1	0	0	0	2	2	5	1	1	0	0	0	1	0	3	0	0	0	0	0.55	0	0	0	0.45	0	0	0	0	0
taxon27	0	0	3	0	0	0	0	3	0	0	0	3	3	3	0	0	0	0	3	0	0	0	0	0	2	2	1	2	1	0	0	0	3	1	2	0	0	0	0	0	3	1	1	0	0	0	0	2	0	3	0	0	0	0	0	2	0	3	0	0	0	0	0.7	0	0	0	0.3	0	0	0	0	0
taxon28	0	2	3	0	0	0	0	3	0	0	1	3	3	3	0	0	0	1	2	0	0	0	0	0	2	1	1	1	2	0	0	1	2	1	3	0	0	0	0	0	0	5	1	1	0	0	1	4	2	1	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
taxon29	0	0	3	0	0	0	0	3	0	0	3	1	3	3	0	0	0	1	3	0	0	1	0	0	2	3	1	3	2	0	0	1	1	1	3	0	0	0	0	0	1	5	0	0	0	0	0	1	3	4	3	0	1	0	0	1	2	2	0	0	1	0	0.47	0	0	0.03	0.5	0	0	0	0	0
taxon30	0	0	0	0	3	0	0	1	3	3	1	0	3	3	0	0	0	0	3	1	0	0	0	0	1	1	1	3	2	0	0	3	0	1	3	0	0	0	0	0	0	1	4	0	0	0	0	3	2	1	0	0	2	0	0	1	3	0	3	0	1	0	0	0	0	0	0.125	0.875	0	0	0	0
taxon31	0	0	0	3	0	0	0	3	1	1	3	0	3	3	0	0	0	1	2	0	0	0	0	0	3	1	1	3	1	0	0	2	2	1	3	0	0	0	0	0	1	5	0	0	0	0	1	2	2	3	1	0	0	0	0	1	2	3	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0
taxon32	0	0	1	3	0	0	0	3	0	0	3	0	3	3	0	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	0	3	1	3	0	0	0	0	0	0	3	1	0	0	0	1	3	1	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
